cycle,node,npts,gated,energy,fe_baseline,fe_surprise,R,motion_var,depth_var,trunc_frac,range,clutter_frac,s,w,h,cx,cy,yaw,std_s,std_w,std_h,phi
101,door_3,3344,0,1.33476,0.767016,0.3924,0.0125299,0,0,0,5.39211,0.214447,0.697053,0.879084,2.06785,-0.481031,4.61104,-0.014924,0.028054,0.00643218,0.0072315,0
124,door_2,2988,0,0.513387,0.797593,0.0118239,0.00486996,0,0,0,3.15038,0.0597681,0.752465,0.7,2.05809,1.18397,2.538,0,0.600614,0.0114468,0.00465681,0
102,door_3,3344,0,1.32888,0.769825,0.409065,0.0125299,3.37243e-16,0,0,5.39211,0.212982,0.746257,0.878367,2.06738,-0.432191,4.61031,-0.014924,0.0281429,0.00641758,0.0072209,0
125,door_2,2988,0,0.51338,0.783382,0.0106415,0.00486996,2.93182e-16,0,0,3.15038,0.0597679,0.752465,0.7,2.05775,1.18397,2.538,0,0.600635,0.0112742,0.00458835,0
103,door_3,3344,0,1.33355,0.772644,0.424249,0.0125299,9.12579e-17,0,0,5.39211,0.214135,0.70437,0.877507,2.06692,-0.474504,4.61094,-0.014924,0.0279412,0.00640274,0.00721045,0
126,door_2,2988,0,0.513373,0.769882,0.00957739,0.00486996,1.13158e-16,0,0,3.15038,0.0597677,0.752465,0.7,2.05743,1.18397,2.538,0,0.600654,0.0111098,0.00452404,0
104,door_3,3344,0,1.32878,0.775424,0.437159,0.0125299,0,0,0,5.39211,0.212956,0.752317,0.876402,2.06648,-0.427114,4.61023,-0.014924,0.0280822,0.00638862,0.00720014,0
127,door_2,2988,0,0.513367,0.757056,0.00861965,0.00486996,0,0,0,3.15038,0.0597675,0.752465,0.7,2.05712,1.18397,2.538,0,0.600675,0.010953,0.00446352,0
106,door_3,3354,0,1.33304,0.778212,0.448926,0.0125245,2.23097e-05,0,0,5.38568,0.214028,0.720809,0.875345,2.06604,-0.459147,4.61071,-0.014924,0.0280737,0.00637475,0.00718997,0
129,door_2,3006,0,0.663765,0.752392,0.00775768,0.00484245,2.7243e-05,0,0,3.12858,0.0782544,0.752465,0.7,2.05681,1.18397,2.538,0,0.600695,0.0108033,0.00443113,0
107,door_3,3350,0,1.33212,0.780982,0.459147,0.0125179,0.000103822,0,0,5.36519,0.213717,0.739285,0.874003,2.06557,-0.441344,4.61045,-0.014924,0.0283058,0.00636156,0.00717995,0
108,door_3,3359,0,1.32047,0.783679,0.466911,0.0126377,0.000347554,0,0,5.33624,0.211956,0.732471,0.872349,2.0652,-0.448984,4.61056,-0.014924,0.028665,0.00634871,0.00717003,0
