cycle,node,L,p_exists,cx,cy,inroom,roomprior_loaded,won,since_det,sil_occ,sil_free,sil_free_eff,n_detectable,n_total,n_occluded,resolvability,central_frac,p_detect,oblq,remove_streak,obs_top_z,obs_top_conf,trunc,gated,gate_fresh
7380,door_2,4,0.982014,0.777063,2.538,1,1,0,3148,0,0,0,0,420,0,0,0,0,0.952044,0,2.05811,0.999681,0,0,0
7440,door_2,4,0.982014,0.777063,2.538,1,1,0,3218,0,0,0,0,420,0,0,0,0,0.952045,0,2.05811,0.999681,0,0,0
7500,door_2,4,0.982014,0.777063,2.538,1,1,0,3288,0,0,0,0,420,0,0,0,0,0.952046,0,2.05811,0.999681,0,0,0
7560,door_2,4,0.982014,0.777063,2.538,1,1,0,3359,0,0,0,0,420,0,0,0,0,0.952047,0,2.05811,0.999681,0,0,0
7620,door_2,4,0.982014,0.777063,2.538,1,1,0,3434,0,0,0,0,420,0,0,0,0,0.952049,0,2.05811,0.999681,0,0,0
7680,door_2,4,0.982014,0.777063,2.538,1,1,0,3505,0,0,0,0,420,0,0,0,0,0.95205,0,2.05811,0.999681,0,0,0
7740,door_2,4,0.982014,0.777063,2.538,1,1,0,3580,0,0,0,0,420,0,0,0,0,0.952052,0,2.05811,0.999681,0,0,0
7800,door_2,4,0.982014,0.777063,2.538,1,1,0,3651,0,0,0,0,420,0,0,0,0,0.952053,0,2.05811,0.999681,0,0,0
7860,door_2,4,0.982014,0.777063,2.538,1,1,0,3730,0,0,0,0,420,0,0,0,0,0.952055,0,2.05811,0.999681,0,0,0
7920,door_2,4,0.982014,0.777063,2.538,1,1,0,3805,0,0,0,0,420,0,0,0,0,0.952056,0,2.05811,0.999681,0,0,0
7980,door_2,4,0.982014,0.777063,2.538,1,1,0,3878,0,0,0,0,420,0,0,0,0,0.952058,0,2.05811,0.999681,0,0,0
8040,door_2,4,0.982014,0.777063,2.538,1,1,0,3951,0,0,0,0,420,0,0,0,0,0.95206,0,2.05811,0.999681,0,0,0
8100,door_2,4,0.982014,0.777063,2.538,1,1,0,4023,0,0,0,0,420,0,0,0,0,0.952061,0,2.05811,0.999681,0,0,0
8160,door_2,4,0.982014,0.777063,2.538,1,1,0,4093,0,0,0,0,420,0,0,0,0,0.952063,0,2.05811,0.999681,0,0,0
