cycle,n_door_slices,slice_idx,npts,conf,cx,cy,range,trunc_frac,motion_var
177,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
177,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
178,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
178,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
179,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
179,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
180,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
180,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
181,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
181,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
182,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
182,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
183,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
183,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
184,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
184,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
185,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
185,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
186,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
186,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
187,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
187,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
188,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
188,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
189,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
189,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
190,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
190,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
191,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
191,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
192,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
192,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
193,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
193,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
194,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
194,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
195,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
