room,sigma,error
58,0.0243743,0.0062451901492273105
58,0.0247847,0.08792083086504598
58,0.045747,0.004742204128883878
58,0.0480566,0.011990450366854647
58,0.0229812,0.021193935453332292
58,0.0302035,0.022108577611416165
58,0.0364589,0.015404594412057784
58,0.0232904,0.011144585636083747
58,0.0225909,0.02487368215604583
58,0.0249726,0.02270159686013257
59,0.0268039,0.0073125098290532315
59,0.0255842,0.016501202986449557
59,0.023422,0.015168470588691477
59,0.0236883,0.0016602710622060524
59,0.0232545,0.013673387875724074
59,0.0235721,0.016542254501730004
60,0.0222595,0.03714331299170812
60,0.0247565,0.032066700796932565
60,0.0283727,0.018458318585396673
60,0.0261409,0.008293150728161157
60,0.0261409,0.14571757100638172
60,0.021671,0.04351028039440784
61,0.0234825,0.013055305434956244
61,0.0249063,0.013247445036685365
61,0.0244516,0.008872307704312249
61,0.0220399,0.008664323631997883
61,0.022984,0.006204232426336112
61,0.022984,0.11450689062235508
61,0.02919,0.007708028282252037
61,0.0248279,0.008403154169714974
62,0.0248765,0.03652309521385068
62,0.0250612,0.05785041572884335
62,0.0236354,0.04735859373967938
62,0.0254309,0.05516084137320601
62,0.0232726,0.05720576757635554
62,0.0218408,0.03780259928893782
62,0.0387064,0.09362280731210772
62,0.0423531,0.08767862644909559
63,0.0440585,0.03550928047708095
63,0.692605,0.09314284657986352
63,0.578094,0.09726778410141758
63,0.0253578,0.006640783086353862
63,0.0221671,0.025084650685228818
63,0.021839,0.04302106112126958
64,0.0220311,0.018485215714186133
64,0.0220311,0.040989595021175704
64,0.0230561,0.0317523243243709
64,0.0272709,0.04597437029476305
64,0.0396256,0.057951026945171596
64,0.0317577,0.13929309566521972
64,0.02152,0.116315571184601
64,0.0346873,0.038594471106623666
64,0.865143,0.18340569342580376
64,0.41858,0.1493392779010264
65,0.027268,0.17442610469766265
65,0.0258941,0.047580694614517714
65,0.0253096,0.046425907433242604
65,0.0292149,0.008308061266023601
65,0.052693,0.011549210535789957
65,0.0526177,0.009232161177102783
66,0.0230598,0.008328181073919982
66,0.0230598,0.1441512906636634
66,0.0730631,0.025756807663217817
66,0.0484861,0.018067308626355846
66,0.0237813,0.02218145621910322
66,0.02163,0.020388491852022805
67,0.0242977,0.1947419718499333
67,0.0225973,0.052690418483819494
67,0.0692752,0.09244290832724796
67,0.0637204,0.10524377653809261
67,0.0221507,0.037831957390544554
67,0.0230942,0.17187438348980316
68,0.025607,0.005130974566298603
68,0.0220631,0.0026031711430485626
68,0.0218564,0.007364054589694538
68,0.0218564,0.0731633706167231
68,0.170385,0.014184923827782877
68,0.107386,0.010408487354078129
69,0.0219799,0.023539262945130722
69,0.0222204,0.024354978957083828
69,0.0380835,0.027319518370571626
69,0.0354833,0.025423500624422075
69,0.0684886,0.028040632678311684
69,0.0805147,0.030166341856446385
69,0.0266741,0.03306931508211193
69,0.0241575,0.03214113408080026
70,0.0357038,0.023472388033602434
70,0.0237556,0.009362569091867648
70,0.0242544,0.0194904335508475
70,0.022459,0.016066938102824658
70,0.0241505,0.008376072641160618
70,0.0358541,0.024518526482845495
71,0.0277264,0.018203090396963266
71,0.0246768,0.008794202635827874
71,0.0237336,0.009307980446906712
71,0.536741,0.1114798394329667
71,0.328212,0.11488115685350647
71,0.0238372,0.021503357877317626
72,0.0266629,0.03215247065156881
72,0.0231072,0.009847843063331044
72,0.0855359,0.01675390309748745
72,0.0844554,0.015791554831618062
72,0.0275248,0.008410071164978382
72,0.0265673,0.031490932409187156
73,0.0255506,0.028904203846499332
73,0.0552584,0.016197053466602922
73,0.0596707,0.02180803118119546
73,0.0243621,0.01869744367554011
73,0.0218368,0.009008867853398743
73,0.0225624,0.028201312026215883
74,0.0247537,0.017459167019076172
74,0.0351846,0.037344779139794115
74,0.044191,0.051141411791228455
74,0.0235766,0.06694226841092267
74,0.457814,0.61884310913591
74,0.457814,0.20292271040965335
74,0.457814,0.1742555953190599
74,0.0519008,0.7974612277496633
