wall_ms,type,valid_ts_ms,x,y,theta,innov_norm
1789391751373,0,1789391751365,-0.437858,-0.93467,3.10376,0
1789391751422,0,1789391751414,-0.437874,-0.934633,3.104,0
1789391751487,0,1789391751479,-0.437863,-0.934629,3.10467,0
1789391751547,0,1789391751537,-0.437831,-0.934661,3.10458,0
1789391751607,0,1789391751597,-0.437831,-0.934694,3.10474,0
1789391751652,0,1789391751642,-0.437862,-0.934719,3.10469,0
1789391751702,0,1789391751690,-0.437879,-0.934721,3.10477,0
1789391751746,0,1789391751738,-0.43787,-0.934682,3.10443,0
1789391751799,0,1789391751788,-0.437877,-0.934647,3.1049,0
1789391751847,0,1789391751837,-0.437958,-0.934643,3.10426,0
1789391751907,0,1789391751897,-0.438057,-0.934638,3.10427,0
1789391751961,0,1789391751953,-0.438031,-0.934572,3.10435,0
1789391752018,0,1789391752010,-0.437998,-0.934501,3.10458,0
1789391752068,0,1789391752057,-0.438001,-0.934518,3.10451,0
1789391752116,0,1789391752106,-0.438006,-0.934542,3.10474,0
1789391752174,0,1789391752164,-0.438041,-0.93451,3.10473,0
1789391752228,0,1789391752218,-0.43809,-0.934442,3.10507,0
1789391752297,0,1789391752286,-0.438126,-0.934435,3.10491,0
1789391752343,0,1789391752335,-0.438123,-0.934515,3.10411,0
1789391752392,0,1789391752382,-0.438098,-0.934573,3.10443,0
1789391752456,0,1789391752447,-0.438009,-0.934608,3.10463,0
1789391752519,0,1789391752506,-0.437928,-0.934629,3.10548,0
1789391752574,0,1789391752564,-0.437842,-0.934599,3.1054,0
1789391752620,0,1789391752610,-0.437775,-0.934576,3.10622,0
1789391752679,0,1789391752667,-0.437812,-0.934553,3.10619,0
1789391752735,0,1789391752726,-0.437857,-0.93453,3.10609,0
1789391752785,0,1789391752774,-0.437869,-0.934532,3.10595,0
1789391752830,0,1789391752821,-0.437878,-0.934534,3.10631,0
1789391752889,0,1789391752877,-0.437789,-0.934513,3.10629,0
1789391752937,0,1789391752926,-0.437662,-0.934482,3.10604,0
1789391752991,0,1789391752980,-0.437645,-0.934488,3.10594,0
1789391753038,0,1789391753030,-0.437749,-0.93453,3.10625,0
1789391753088,0,1789391753079,-0.437832,-0.934508,3.10695,0
1789391753137,0,1789391753127,-0.437881,-0.934377,3.10758,0
1789391753197,0,1789391753186,-0.437904,-0.934291,3.10727,0
1789391753246,0,1789391753235,-0.437861,-0.934345,3.10685,0
1789391753297,0,1789391753285,-0.437818,-0.9344,3.10654,0
1789391753337,0,1789391753330,-0.437861,-0.934341,3.10655,0
1789391753397,0,1789391753386,-0.437915,-0.934267,3.10649,0
1789391753457,0,1789391753447,-0.437861,-0.934227,3.10637,0
1789391753522,0,1789391753510,-0.437763,-0.934202,3.10658,0
1789391753573,0,1789391753563,-0.437746,-0.934231,3.10661,0
1789391753625,0,1789391753614,-0.437763,-0.934282,3.1069,0
1789391753669,0,1789391753659,-0.43781,-0.934312,3.10691,0
1789391753722,0,1789391753713,-0.437895,-0.934336,3.10699,0
1789391753776,0,1789391753768,-0.437942,-0.934371,3.10647,0
1789391753835,0,1789391753827,-0.437899,-0.934436,3.10643,0
1789391753890,0,1789391753881,-0.437885,-0.934484,3.1071,0
1789391753939,0,1789391753930,-0.437983,-0.934486,3.107,0
1789391753994,0,1789391753987,-0.438098,-0.934488,3.10693,0
1789391754050,0,1789391754038,-0.43807,-0.934447,3.10706,0
