t_ms,node,yaw,hi,sdf0,sdf90,sdf180,sdf270,best_deg
466827104,chair_1,32.9943,3165,0.081546,0.120796,0.287057,0.255447,0
466827206,chair_1,32.9949,3194,0.0780441,0.120453,0.284194,0.250958,0
466827308,chair_1,32.9949,3233,0.0786953,0.122516,0.28536,0.251916,0
466827405,chair_1,32.9962,2849,0.0369883,0.111088,0.293616,0.235969,0
466827504,chair_1,32.9975,3399,0.0866118,0.122443,0.287666,0.253647,0
466827608,chair_1,33.0015,3386,0.0730886,0.119553,0.286038,0.250405,0
466827703,chair_1,32.9961,3471,0.0820933,0.11813,0.286843,0.251723,0
466827805,chair_1,32.9968,3540,0.0680074,0.117433,0.285487,0.24808,0
466827907,chair_1,32.9968,3585,0.0791559,0.119676,0.284931,0.246772,0
466828005,chair_1,32.9968,3618,0.0674987,0.12257,0.285584,0.243471,0
466828107,chair_1,32.9968,3642,0.0891398,0.123677,0.285209,0.250293,0
466828207,chair_1,32.9953,3717,0.0702515,0.120436,0.284645,0.246793,0
466828405,chair_1,32.9953,3704,0.0996604,0.119835,0.2839,0.254866,0
466828507,chair_1,32.9933,3783,0.101766,0.119202,0.283886,0.259368,0
466828605,chair_1,32.994,3834,0.107285,0.117268,0.287575,0.274775,0
